"1004","2","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"10,000_metres#0","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"100","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Politician"
"100","1","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"100","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"10,000_metres#7","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"1000","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Mayor http://dbpedia.org/ontology/Politician"
"1000","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1000","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"101","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Politician"
"101","1","http://dbpedia.org/ontology/Person"
"101","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Village"
"100_metres_freestyle#1","0","http://dbpedia.org/ontology/SoccerClubSeason http://dbpedia.org/ontology/SportsSeason http://dbpedia.org/ontology/SportsTeamSeason"
"1005","0","http://dbpedia.org/ontology/Person"
"1005","1","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1005","2","http://dbpedia.org/ontology/Person"
"1005","3","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/AdministrativeRegion"
"100_metres#Race_dynamics#12","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"100_metres#Race_dynamics#12","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"100_metres#Race_dynamics#12","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"100_metres#Race_dynamics#8","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"1008","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1008","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1008","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1006","0","http://dbpedia.org/ontology/Person"
"1006","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1006","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1006","3","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City"
"1009","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1009","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1009","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/PopulatedPlace"
"1015","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1015","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1015","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/City"
"1019","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1019","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1019","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"102","0","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"102","1","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"1014","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1014","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1014","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1011","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1011","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1011","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1012","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1012","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1012","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Country"
"1013","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1013","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1013","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1007","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1007","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1007","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"102nd_United_States_Congress#1","1","http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/PoliticalParty"
"1017","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1017","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1017","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Country"
"10","0","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/ClericalAdministrativeRegion http://dbpedia.org/ontology/Diocese http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"10","1","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/ClericalAdministrativeRegion http://dbpedia.org/ontology/Diocese http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"10","2","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/ClericalAdministrativeRegion http://dbpedia.org/ontology/Diocese http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"10","3","http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/ontology/ClericalAdministrativeRegion http://dbpedia.org/ontology/Diocese http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Region"
"1027","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1027","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1027","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1024","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1024","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1024","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1029","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1010","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1010","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1010","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1026","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1026","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1026","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1016","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1016","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1016","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1028","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1028","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1028","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"103","0","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"103","1","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"1025","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1025","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1025","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"103rd_United_States_Congress#2","1","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/OfficeHolder"
"103rd_United_States_Congress#2","3","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/OfficeHolder http://dbpedia.org/ontology/Politician"
"1022","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1022","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1022","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Country"
"1018","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1018","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1018","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1021","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1021","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1021","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1030","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1033","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1035","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1020","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1020","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1020","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1048","0","http://dbpedia.org/ontology/Person"
"1048","1","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1048","2","http://dbpedia.org/ontology/Person"
"1037","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1045","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1043","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1049","0","http://dbpedia.org/ontology/Person"
"1049","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1049","2","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1039","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1053","0","http://dbpedia.org/ontology/Person"
"1053","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1053","2","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1031","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1056","0","http://dbpedia.org/ontology/Person"
"1056","1","http://dbpedia.org/ontology/Person"
"1056","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City"
"1032","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1046","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1023","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1023","1","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1023","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1057","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/MilitaryPerson"
"1054","0","http://dbpedia.org/ontology/Person"
"1054","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1054","2","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1059","0","http://dbpedia.org/ontology/Person"
"1058","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/MilitaryPerson"
"1041","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1052","0","http://dbpedia.org/ontology/Person"
"1052","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1052","2","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1050","0","http://dbpedia.org/ontology/Person"
"1050","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1050","2","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"104","0","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"104","1","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Plant"
"1067","0","http://dbpedia.org/ontology/Person"
"1038","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1068","0","http://dbpedia.org/ontology/Person"
"1034","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1066","0","http://dbpedia.org/ontology/Person"
"1061","0","http://dbpedia.org/ontology/Person"
"1036","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"107","0","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"107","1","http://dbpedia.org/ontology/Conifer"
"1079","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Athlete"
"1079","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1079","2","http://dbpedia.org/ontology/Person"
"1079","3","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"106","0","http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Species http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Plant"
"106","1","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"1060","0","http://dbpedia.org/ontology/Person"
"1047","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1040","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1062","0","http://dbpedia.org/ontology/Person"
"1042","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"108","0","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"108","1","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Plant"
"1065","0","http://dbpedia.org/ontology/Person"
"1051","0","http://dbpedia.org/ontology/Person"
"1051","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1051","2","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1088","0","http://dbpedia.org/ontology/MilitaryStructure http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Building"
"1088","1","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Village"
"1089","0","http://dbpedia.org/ontology/MilitaryStructure http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Building"
"1089","1","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"105","0","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"105","1","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"1064","0","http://dbpedia.org/ontology/Person"
"1092","0","http://dbpedia.org/ontology/Band http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1092","1","http://dbpedia.org/ontology/Aircraft http://dbpedia.org/ontology/MeanOfTransportation http://dbpedia.org/ontology/Software"
"1092","2","http://dbpedia.org/ontology/Aircraft http://dbpedia.org/ontology/MeanOfTransportation"
"1092","3","http://dbpedia.org/ontology/Aircraft http://dbpedia.org/ontology/MeanOfTransportation"
"1092","4","http://dbpedia.org/ontology/Airport http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/ArchitecturalStructure"
"109","0","http://dbpedia.org/ontology/Conifer http://dbpedia.org/ontology/Eukaryote http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Species"
"109","1","http://dbpedia.org/ontology/Plant http://dbpedia.org/ontology/Conifer"
"1082","0","http://dbpedia.org/ontology/Person"
"1082","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1082","2","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1072","0","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/MilitaryPerson"
"1055","0","http://dbpedia.org/ontology/Person"
"1055","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1055","2","http://dbpedia.org/ontology/EducationalInstitution http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/University"
"1080","0","http://dbpedia.org/ontology/Person"
"1080","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1080","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City"
"1075","0","http://dbpedia.org/ontology/Person"
"1087","0","http://dbpedia.org/ontology/Person"
"1087","1","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1087","2","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/City"
"1063","0","http://dbpedia.org/ontology/Person"
"1074","0","http://dbpedia.org/ontology/Person"
"1091","0","http://dbpedia.org/ontology/MilitaryUnit http://dbpedia.org/ontology/Organisation"
"1091","1","http://dbpedia.org/ontology/Aircraft http://dbpedia.org/ontology/MeanOfTransportation"
"1091","2","http://dbpedia.org/ontology/Aircraft http://dbpedia.org/ontology/MeanOfTransportation"
"1091","3","http://dbpedia.org/ontology/Aircraft http://dbpedia.org/ontology/MeanOfTransportation"
"1091","4","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/City http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1044","0","http://dbpedia.org/ontology/Event http://dbpedia.org/ontology/MilitaryConflict http://dbpedia.org/ontology/SocietalEvent"
"1070","0","http://dbpedia.org/ontology/Person"
"1076","0","http://dbpedia.org/ontology/Person"
"1090","0","http://dbpedia.org/ontology/MilitaryStructure http://dbpedia.org/ontology/Mountain http://dbpedia.org/ontology/NaturalPlace http://dbpedia.org/ontology/Place"
